"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 23 10:04:10 UTC 2025","Tue Sep 23 10:04:12 UTC 2025","1408","","test_allure","","","","Unsuccessful Login Test","Тест проверяет неудачную попытку входа с неправильными учетными данными на сайт the-internet.herokuapp.com"
"passed","Tue Sep 23 10:04:08 UTC 2025","Tue Sep 23 10:04:10 UTC 2025","1861","","test_allure","","","","Successful Login Test","Тест проверяет успешный вход с правильными учетными данными на сайт the-internet.herokuapp.com"
